id,prediction
0,0.0
1,0.0
2,0.0
3,23.562214811865488
4,399.4882185043389
5,1009.9438033634669
6,1726.3573637129775
7,2380.8716029952066
8,2847.9860396396634
9,3098.714793357738
10,3092.0324764273646
11,2836.996606834802
12,2376.1587965972412
13,2045.4423752211878
14,1953.4415457905325
15,1500.254954223723
16,965.1526105171961
17,468.63793319290744
18,58.27517247167634
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,207.10028690028776
28,795.0517933529918
29,1440.6350280957322
30,1943.4100638861764
31,2488.539037649067
32,3058.799707161237
33,3424.2820351791124
34,3519.8793289551977
35,3390.0236933494907
36,3227.8247732787277
37,3057.128543822935
38,2894.417842078372
39,2510.5132757071988
40,1862.7166703226849
41,1091.7035418515188
42,327.05901758459186
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,181.17919572446772
52,830.8997929705238
53,1653.2243637824722
54,2461.5774369916617
55,3189.782829356338
56,3806.1774639542764
57,4250.830634524722
58,4396.774239361535
59,3994.2957153152784
60,3456.210437366659
61,3136.3296334663864
62,2705.9061043795173
63,1912.9948669488167
64,1146.1594047151611
65,661.4570270606928
66,226.71430157654868
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,16.39089249470271
73,29.849417585683113
74,78.86529420984334
75,312.64353407131057
76,812.1666968332793
77,1620.241019147641
78,2532.140434119483
79,3306.712080827936
80,3841.9553571566594
81,3990.676470322993
82,3733.390913872272
83,3589.382737702519
84,3198.75916426223
85,2844.064559807717
86,2878.4278333667444
87,2589.9750133049365
88,1914.1630537463716
89,984.4126481360399
90,226.42461173320225
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,94.28595906435294
97,99.3485377568013
98,149.48222243140845
99,444.85373411662476
100,1022.3900922649227
101,1829.1187366982467
102,2661.4148812192907
103,3374.0428390042052
104,3910.7029320468246
105,4171.250102436026
106,4362.430827867802
107,4443.635879164702
108,4369.021162478784
109,3972.2746835605267
110,3462.07374373729
111,2777.6057116356824
112,2024.7389814287471
113,1259.6800822941605
114,577.1818504544372
115,169.52876249197107
116,33.6439123715154
117,10.763417055879472
118,0.0
119,0.0
120,10.478447053821583
121,23.72235094955613
122,101.22258719625279
123,434.8516564716574
124,1084.8526999907772
125,1897.0819733313565
126,2703.288190976391
127,3372.536237874474
128,3717.5691972518052
129,3669.087417624087
130,3468.2370948273037
131,3228.7027027615222
132,3102.7683966285076
133,3065.385254863055
134,3031.185415458067
135,2620.9460970511336
136,1828.5348193600075
137,1118.137807979745
138,629.4550678035248
139,240.33669032701437
140,28.360555935645607
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,79.5159498389985
147,418.36582041384463
148,1075.1452526512203
149,1906.7493033738974
150,2695.448457003604
151,3386.556161816874
152,3976.8187742086357
153,4265.982917197181
154,4082.749411022811
155,3756.4676604518845
156,3448.6878902444423
157,3146.8383530942865
158,2884.993833426315
159,2313.247501055701
160,1555.2899565590578
161,943.9911952259754
162,403.20197275601095
163,35.38995098683881
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,117.3525779693864
172,213.01634818214734
173,467.0302342389259
174,772.7419163180275
175,1040.7443324609358
176,1282.6622695227707
177,1479.731093372493
178,1629.3528055688603
179,1902.2156313993655
180,2123.7445225752654
181,2331.818941432628
182,1943.2169762778522
183,1752.868633327449
184,1379.387369630207
185,798.7670267013982
186,332.01140429932457
187,89.37958020367114
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,148.7834386681625
196,451.8557738755935
197,798.8705036060783
198,1469.485189519577
199,2224.4935357285704
200,2613.1930353441676
201,2767.135817212191
202,3030.7503556889387
203,3065.106610778692
204,3020.5681603197336
205,2712.6421983911023
206,2413.840289625048
207,1821.2101053464794
208,851.8205871023692
209,300.7962934494444
210,7.295695553137193
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,32.36716980141318
217,14.371910293022665
218,19.301219135229985
219,150.87254286542338
220,258.5279994283628
221,639.2696387396245
222,1016.598010424017
223,1408.59661446684
224,1891.622492108425
225,1841.533797983193
226,1734.1881516737958
227,1772.9767851594988
228,1553.5331388959257
229,1415.5474078356565
230,1159.4851308059042
231,841.6244319098205
232,405.33001836740914
233,142.24893690457793
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,294.3099071628858
245,759.0060892650908
246,1395.6443350776244
247,2181.7001926136218
248,2376.3028187371165
249,1656.9149306538438
250,1588.4660810942532
251,1947.6905314951364
252,1885.067469669255
253,1638.7816329318266
254,1485.5558726836734
255,1557.9848812896016
256,1424.9561944508823
257,1011.4295916894371
258,555.849256295267
259,160.20136685201578
260,0.0
261,0.0
262,0.0
263,0.0
264,14.381501197933176
265,27.67188329724013
266,157.55219316836883
267,398.24505536653123
268,765.1635452500668
269,1229.1239926668368
270,1674.0358465777208
271,2011.3771029765721
272,2276.742775470615
273,2369.882024828985
274,2226.1616832664404
275,2375.269476156129
276,2332.8970288082255
277,1946.0669579801215
278,1701.7794243579829
279,1396.4495622342656
280,891.3793991005041
281,442.02725220146385
282,96.28582839245246
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,118.8496642310165
291,284.0763995103898
292,607.0040443007983
293,1123.7914334922734
294,1785.4709591014434
295,1990.9404505750572
296,1935.8109104373707
297,2346.942254920017
298,2779.098903200451
299,2595.6710276554113
300,2057.1149100122184
301,1855.2980663688886
302,1647.8882562381077
303,1387.6158116819279
304,962.8155037500328
305,697.0997518735694
306,418.44416895554787
307,183.52544200715784
308,52.5275643037221
309,57.31745590507671
310,64.7198769396764
311,73.3678892596381
312,107.48615460272595
313,131.21204718573608
314,240.23251697021624
315,500.9236596271676
316,966.135240624677
317,1473.3720468377342
318,1910.2541825616354
319,2155.588599959505
320,2578.9421791799487
321,2785.900335959599
322,2676.708572043164
323,2432.1234559441273
324,2056.8223452326383
325,1732.2049155651057
326,1407.679267105952
327,1096.8403622043206
328,844.2902246439353
329,554.576183921763
330,308.351605471873
331,144.358279185044
332,38.44619123998382
333,41.958453374878445
334,23.89501658599511
335,0.5043464196623972
336,24.15850595977281
337,31.021607321432384
338,97.73860040429463
339,244.83691918526893
340,570.7518809478879
341,942.9311465347582
342,1173.0225457947363
343,1370.0240684268501
344,1619.412119520397
345,1807.0508332346508
346,1848.822414336606
347,1866.9735058950173
348,1799.2626968810273
349,1652.73318375067
350,1427.327431255755
351,1220.5298167396522
352,900.1258996997549
353,571.4131749208282
354,290.64388514429265
355,125.62980566298575
356,27.195388192783867
357,39.90113401804956
358,41.83300808141212
359,47.273499697639636
360,60.184007259735154
361,77.48409821548012
362,181.41091970082016
