62
Redwood
0 1 0 1 1
0.364 0.082
0.898 0.082
0.864 0.18
0.966 0.541
0.864 0.902
0.686 0.328
0.5 0.598
0.483 0.672
0.339 0.836
0.483 0.82
0.186 0.402
0.203 0.525
0.186 0.541
0.483 0.082
0.898 0.098
0.78 0.123
0.898 0.754
0.746 0.902
0.644 0.279
0.525 0.574
0.22 0.795
0.381 0.836
0.483 0.77
0.203 0.426
0.102 0.574
0.186 0.557
0.441 0.098
0.839 0.082
0.78 0.164
0.898 0.779
0.678 0.246
0.61 0.344
0.585 0.574
0.22 0.836
0.407 0.852
0.508 0.754
0.22 0.459
0.119 0.574
0.5 0.098
0.898 0.164
0.763 0.148
1 0.836
0.703 0.279
0.627 0.344
0.559 0.639
0.263 0.852
0.263 0.697
0.441 0.754
0.237 0.475
0.136 0.574
0.483 0.148
0.898 0.189
0.949 0.525
0.966 0.959
0.729 0.262
0.644 0.361
0.525 0.656
0.288 0.852
0.441 0.82
0.186 0.377
0.203 0.5
0.119 0.623
