42
Cells
0 1 0 1 1
0.350 0.025
0.062 0.362
0.938 0.400
0.462 0.750
0.462 0.900
0.737 0.237
0.800 0.387
0.337 0.750
0.350 0.962
0.637 0.050
0.325 0.287
0.350 0.600
0.737 0.687
0.487 0.087
0.212 0.337
0.150 0.500
0.525 0.650
0.625 0.950
0.825 0.125
0.650 0.362
0.725 0.512
0.237 0.787
0.775 0.025
0.450 0.287
0.562 0.575
0.862 0.637
0.237 0.150
0.337 0.462
0.987 0.512
0.775 0.850
0.087 0.187
0.900 0.262
0.862 0.525
0.637 0.812
0.575 0.212
0.600 0.475
0.175 0.650
0.175 0.912
0.400 0.162
0.462 0.425
0.062 0.750
0.900 0.775
